Activities Advisor|Santa Rosa Junior College|SR|
Adaptive PE (APE) Teacher |Lancaster SD |DJ|two entries
Adaptive Physical Education (P.E.) Specialist|Chino Valley USD|EW|
Adaptive Physical Education (P.E.) Specialist|Chino Valley USD|EW|
Administrative Secretary III - Superintendent's Office|Pomona Unified School District|BF|
Administrative Secretary I|Oxnard Union High School District|OH|
Assistant Principal|Fortuna High School District|FO|
Assistant Principal, Special Education|Santa Clara COE|AM|
Assistive Technology Tech|Oceanside Unified School District|OS|
Attendance Clerk|Capistrano Unified School District|CP|
Autism Specialist|Capistrano Unified School District|CP|
Behavior Intervention Assistant|Capistrano Unified School District|CP|
Bilingual Clerk|Capistrano Unified School District|CP|
Bilingual Community Liaison|Capistrano Unified School District|CP|
Bilingual Community Services Liaison|Capistrano Unified School District|CP|
Bilingual District Receptionist|Capistrano Unified School District|CP|
Bilingual Elementary School Clerk|Capistrano Unified School District|CP|
Bilingual Elementary School Office Manager|Capistrano Unified School District|CP|
Bilingual Independence Facilitator - Special Education|Capistrano Unified School District|CP|
Bilingual Instructional Aide|Val Verde Unified School District|HR|
Bilingual Instructional Assistant|Capistrano Unified School District|CP|
Bilingual Instructional Assistant - Preschool|Capistrano Unified School District|CP|
Bilingual Instructional Assistant - Special Education|Capistrano Unified School District|CP|
Bilingual Intermediate Office Assistant|Capistrano Unified School District|CP|
Bilingual Special Programs Liaision|Capistrano Unified School District|CP|
Bilingual Staff Secretary|Capistrano Unified School District|CP|
Bilingual Student Intervention Assistant|Capistrano Unified School District|CP|
BTSA Teacher on Special Assignment (TOSA)|Oceanside Unified School District|OS|
Bus Driver|Newport-Mesa Unified School District|NM|
Caregiver - Special Education|Alhambra School District|DM|
Caregiver - Special Education|Capistrano Unified School District|CP|
Case Manager I & II|Chino Valley Unified School District|EW|
Case Manager I & II|Chino Valley Unified School District|EW|
Certified Occupational Therapist Assistant|Capistrano Unified School District|CP|
Certified Occupational Therapy Assistant|Santa Ana Unified School District|BP|
Chief School Psychologist|Chino Valley USD|EW|
Chief School Psychologist|Chino Valley USD|EW|
Child Specialist|Chino Valley USD|EW|
Child Specialist|Chino Valley USD|EW|
Clerical Assistant II|Oxnard Union High School District|OH|
Clerk II|Alhambra School District|DM|
Clerk II|Westside Union School District|KC|
Communication Language/Speech Specialist|Santa Clara COE|AM|
Community Service Worker|Bellflower Unified School District|FP|
Compliance Support Secretary|Redlands Unified School District|RL|
Coordinator - Child Welfare & Attendance|Azusa Unified School District|EN|
Coordinator - Child Welfare & Attendance|Azusa Unified School District|EN|
Coordinator/District Athletic Director|Redlands Unified School District|RL|
Coordinator, MESA/CCCP Program|Santa Rosa Junior College|SR|
Counselor/Student Services Coordinator|Santa Rosa Junior College|SR|
Dean of Student Accountability|Oxnard Union High School District|OH|
Dean of Student Services|Oxnard Union High School District|OH|
Department Clerk Human Resources|Alhambra School District|DM|
Department Clerk Human Resources|Westside Union School District|KC|
Deputy Superintendent|Chino Valley USD|EW|
Deputy Superintendent|Chino Valley USD|EW|
Deputy Superintendent|Santa Ana Unified School District|BP|
Director, Alternative Education|Chino Valley Unified School District|EW|
Director, Child Welfare and Attendance|Palm Springs Unified School District|PS|
Director, Child Welfare and Attendance|Palm Springs Unified School District|PS|
Director I - Child Development & Family Literacy|MCOE Child Development Services|JC|
Director III, Early Childhood Programs|Capistrano Unified School District|CP|
Director of Alternative Education and Programs|Chino Valley Unified School District|EW|
Director of Alternative Education and Programs|Chino Valley Unified School District|EW|
Director of Special Education|Alhambra School District|DM|
Director, Special Education|Sonoma COE Special Education|BI|
Disabilities Facilitator|El Monte City School District|CY|
District Nurse|Capistrano Unified School District|CP|
District Psychologist/School Psychologist|Azusa Unified School District|EN|
District Psychologist/School Psychologist|Azusa Unified School District|EN|
EDP Terminal Operator Attendance|Oxnard Union High School District|OH|
Educational Services Receptionist|Alhambra School District|DM|
Educational Services Receptionist|Westside Union School District|KC|
Elementary Assistant Principal|Santa Monica-Malibu Unified School District|LD|
Elementary Principal|Capistrano Unified School District|CP|
Elementary School Clerk|Capistrano Unified School District|CP|
Elementary School Office Manager|Capistrano Unified School District|CP|
Enrollment Services Clerk|Capistrano Unified School District|CP|
Enrollment Technician|Capistrano Unified School District|CP|
E PRIN|Oceanside Unified School District|OS|
Executive Director I, Infant - Elementary Technology Support Programs|Capistrano Unified School District|CP|
Faculty, Public Saftey - EMC|Santa Rosa Junior College|SR|
Faculty, Public Saftey - EMC|Santa Rosa Junior College|SR|
Family and Student Support Specialist|Capistrano Unified School District|CP|
Family Resource Center (FRC) Coordinator|Calexico Unified School District|EX|
Financial Aid Technician II|Santa Rosa Junior College|SR|
Financial Aid Technician II|Santa Rosa Junior College|SR|
Guidance Technician|Oxnard Union High School District|OH|
Head Teacher - Children's Center|Chino Valley USD|EW|
Head Teacher - Children's Center|Chino Valley USD|EW|
Health Assistant|Capistrano Unified School District|CP|
Health/Office Assistant|Capistrano Unified School District|CP|
Health Services Assistant I - School Sites|El Monte City School District|CY|
High School Dean of Students|Chino Valley USD|EW|
High School Dean of Students|Chino Valley USD|EW|
High School Intervention Counselor|Chino Valley USD|EW|
High School Intervention Counselor|Chino Valley USD|EW|
High School Office Manager|Capistrano Unified School District|CP|
High School Principal|Capistrano Unified School District|CP|
IBI Assistant/Tutor|Capistrano Unified School District|CP|
Independence Facilitator - Autism|Capistrano Unified School District|CP|
Independence Facilitator - Special Ed.|Capistrano Unified School District|CP|
Infant/Toddler Child Care Provider|Capistrano Unified School District|CP|
Instructional Aide - Classroom/Mobile Health Unit Driver|Hemet Unified School District|EF|
Instructional Aide - Classroom/Mobile Health Unit Driver|Hemet Unified School District|EF|
Instructional Assistant|Alhambra School District|DM|
Instructional Assistant|Capistrano Unified School District|CP|
Instructional Assistant - Severely Handicapped (SH)|Capistrano Unified School District|CP|
Instructional Assistant - Special Ed/Inst. Asst. - Severely Handicapped|Capistrano Unified School District|CP|
Instructional Assistant - Special Education|Capistrano Unified School District|CP|
Instructional Assistant - Special Education Preschool|Capistrano Unified School District|CP|
Instructional Assistant|Westside Union School District|KC|
Interpreter for the Hearing Impaired|Capistrano Unified School District|CP|
Job Technician I|Capistrano Unified School District|CP|
Job Technician II|Capistrano Unified School District|CP|
Lead Intermediate Office Assistant (Transportation)|Capistrano Unified School District|CP|
Library/Media Technician|Oxnard Union High School District|OH|
Licensed Vocational Nurse|Capistrano Unified School District|CP|
Licensed Vocational Nurse|Tustin Unified School District|JU|
Literacy Intervention Assistant|Capistrano Unified School District|CP|
Literacy Intervention Specialist|Capistrano Unified School District|CP|
Manager, Adapted Technology and Network Services|Santa Clara COE|AM|
Marriage & Family Therapist - SPS |Santa Rosa Junior College|SR|
Marriage & Family Therapist - SPS |Santa Rosa Junior College|SR|
Middle School Office Manager|Capistrano Unified School District|CP|
Middle School Principal|Capistrano Unified School District|CP|
MS ASST PRIN|Oceanside Unified School District|OS|
Nurse|Antelope Valley Union High School District|FH|
Nurse - District|Capistrano Unified School District|CP|
Nurse Practitioner|Santa Rosa Junior College|SR|
Occupational Therapist|Capistrano Unified School District|CP|
Paraeducator - Special Education|Perris Union High School District|KA|
Paraeducator - Special Education - RSP/SDC|Perris Union High School District|KA|
Paraeducator - Special Education - Severely Handicapped Program|Perris Union High School District|KA|
Paraeducator - Special Education - Special Circumstances|Perris Union High School District|KA|
Personnel Technician II|Val Verde Unified School District|HR|
Physical Therapist|Capistrano Unified School District|CP|
Principal|Fortuna High School District|FO|
Program Specialist - Special Education|Garden Grove Unified School District|BA|
Program Specialist - (Teacher on Assignment)|Chino Valley USD|EW|
Program Specialist - (Teacher on Assignment)|Chino Valley USD|EW|
Psychologist|Klamath-Trinity Joint Unified School District|TV|
Public Health Nurse|Chino Valley USD|EW|
Public Health Nurse|Chino Valley USD|EW|
Resource Specialist|Irvine Unified School District|IV|
Resource Specialist SE|Oceanside Unified School District|OS|
Resource Teacher|Chino Valley USD|EW|
Resource Teacher|Chino Valley USD|EW|
RSP Teacher|Rincon Valley Union School District|RV|
School Clerk I|Capistrano Unified School District|CP|
School Clerk II|Capistrano Unified School District|CP|
School Clerk II|Westside Union School District|KC|
School/Community Intervention Specialist II|San Juan USD - Pupil Health Services|BE|
School/Community Intervention Specialist II|San Juan USD - Pupil Health Services|BE|
School/Community Intervention Specialist II|San Juan USD - Special Education|BE|
School/Community Intervention Specialist II|San Juan USD - Special Education|BE|
School/Community Intervention Specialist II|San Juan USD - Student Assistance/Prevention|BE|
School/Community Intervention Specialist |San Juan USD - Pupil Health Services|BE|
School/Community Intervention Specialist |San Juan USD - Pupil Health Services|BE|
School/Community Intervention Specialist |San Juan USD - Special Education|BE|
School/Community Intervention Specialist |San Juan USD - Special Education|BE|
School Nurse|Konocti Unified School District|HD|
School Nurse|San Juan USD - Pupil Health Services|BE|
School Nurse|San Juan USD - Pupil Health Services|BE|
School Nurse|San Juan USD - Special Education|BE|
School Nurse|San Juan USD - Special Education|BE|
School Nurse|San Juan USD - Student Assistance/Prevention|BE|
School Psychologist Inern|Central USD|GT|
School Psychologist Inern|Central USD|GT|
School Readiness Nurse|Fullerton Elementary School District|GK|
School Readiness Nurse|Fullerton Elementary School District|GK|
School Readiness Nurse/Nurse Practitioner|Fullerton Elementary School District|GK|
School Receptionist|Capistrano Unified School District|CP|
School Secretary I|Capistrano Unified School District|CP|
School Secretary II|Capistrano Unified School District|CP|
School Secretary/SARB Secretary|Del Norte County Unified School District|DN|
School Therapist|Santa Clara County Office of Education|AM|
SDC - Mod/Severe|Placentia-Yorba Linda Unified School District|GZ|
Secondary Special Education Teacher|Val Verde Unified School District|HR|
Secretary|Alhambra School District|DM|
Secretary III|Perris Union High School District|KA|
Secretary|Westside Union School District|KC|
Senior IBI Assistant/Tutor|Capistrano Unified School District|CP|
Social Worker|Julian Union Elementary School District|JN|
Special Class Teacher (Special Education)|Palmdale Elementary School District|DQ|
Special Day Class Teacher|Rialto USD|RU|
Special Day Class Teacher|Rincon Valley Union School District|RV|
Special Day Teacher|Irvine Unified School District|IV|
Special Ed. Teacher, Adapted Physical Ed. - Dept. Chairperson Clerical|Chino Valley USD|EW|
Special Ed. Teacher, Adapted Physical Ed. - Dept. Chairperson Clerical|Chino Valley USD|EW|
Special Education Teacher, Adapted Physical Education|Chino Valley USD|EW|
Special Education Teacher, Adapted Physical Education|Chino Valley USD|EW|
Special Education Teacher|Oxnard Union High School District|OH|
Specialized Health Services Assistant|Capistrano Unified School District|CP|
Staff Secretary|Capistrano Unified School District|CP|
Superintendent|Santa Ana Unified School District|BP|
Teacher, Classroom, Adaptive Physical Education|El Monte City School District|CY|
Teacher, Classroom, Adaptive Physical Education|El Monte City School District|CY|
Teacher, Classroom, Physical and Health Impairment|El Monte City School District|CY|
Teacher, Classroom, Physical and Health Impairment|El Monte City School District|CY|
Teacher, Inclusion Specialist|El Monte City School District|CY|
Teacher, Inclusion Specialist|El Monte City School District|CY|
Teacher - LH SDC|Oceanside Unified School District|OS|
Teacher - SH|Oceanside Unified School District|OS|
Teacher Specialist, Elementary/Secondary|Glendale Unified School District|BC|
Teaching Assistant Principal, Level 1 and 2|Capistrano Unified School District|CP|
